Reset_UPS,UPS POWER SYSTEM STATES BYPASS OUTAGE CUSTOMER COME NONE STAY,"{""similarity"": [""0.201953499119"", ""0.193529776031"", ""0.178972638906"", ""0.16831223228"", ""0.16831223228""], ""rescode"": [""Perform_collimator_calibration"", ""Reset_Scan_Database"", ""Clean_console_DVD_drive"", ""Reset_the_system_time_clock"", ""Re_install_a_software_option""], ""topics"": [""SCANNER SYSTEM FAST"", ""SYSTEM DETECTOR IMAGE"", ""SYSTEM STATE FRIDAY"", ""TIME CLOCK SYSTEM"", ""SPLIT EXAM SYSTEM""]}"
Troubleshoot_HEMIT_TANK,ARTIFACT AXIAL SCAN HEAD ARTIFACTS APPEARING GANTRY HOLDER SLICES HARDWARE,"{""similarity"": [""0.53140013106"", ""0.299105447864"", ""0.298446543225"", ""0.290849874057"", ""0.22615354828"", ""0.22615354828"", ""0.22615354828"", ""0.22615354828"", ""0.184147936948"", ""0.176365728862"", ""0.173548918405"", ""0.173548918405"", ""0.171417502117"", ""0.171417502117"", ""0.155499190477""], ""rescode"": [""Perform_High_Voltage_maintenance_and_checks"", ""Clean_Collimator_Face_and_detector_face"", ""Perform_system_table_to_gantry_alignment"", ""Troubleshoot_DETECTOR_MODULE"", ""Troubleshoot_JEDI_INVERTER_AND_HV_TANK"", ""Troubleshoot_X_RAY_TUBE"", ""Troubleshoot_COLLIMATOR_FILTER_ASSEMBLY"", ""Troubleshoot_COLLIMATOR_CAM_MOTOR"", ""Clear_recon_image_queue"", ""Troubleshoot_TABLE_CONTROL_BOARD"", ""Troubleshoot_JEDI_HV_TANK"", ""Tighten_Set_Screws_for_Collimator_Aperture_Couplers"", ""Troubleshoot_AXIAL_ENCODER"", ""Adjust_gantry_axial_drive_encoder"", ""Cycle_the_Console_power_or_restart_system_software""], ""topics"": [""ERROR SCAN ARTIFACT"", ""ARTIFACT CUSTOMER STATES"", ""ARTIFACT HEAD SCANNER"", ""DETECTOR ARTIFACT ERROR"", ""SCAN SCANNER HARDWARE"", ""SCANNER HARDWARE SCAN"", ""SCANNER HARDWARE SCAN"", ""SCAN SCANNER HARDWARE"", ""SCAN IMAGES CUSTOMER"", ""MOVE SCAN TABLE"", ""SCAN SERIES SCANNER"", ""SCAN SCANNER STOP"", ""GANTRY SCAN ENCODER"", ""GANTRY SCAN CRADLE"", ""SCAN STOPPED PLEASE""]}"
No structural problem found,SCAN ERROR CUSTOMER VERIFY SERIES DUE GANTRY HARDWARE CONSOLE VISIT,"{""similarity"": [""0.608142976281"", ""0.387829488598"", ""0.383569675552"", ""0.344252687225"", ""0.340050957035"", ""0.29074134196"", ""0.204285651504"", ""0.184327175339"", ""0.167210035114""], ""rescode"": [""Clear_recon_image_queue"", ""Clean_table_power_supply_fan"", ""Clean_Collimator_Face_and_detector_face"", ""Perform_table_characterization_procedures"", ""Troubleshoot_DETECTOR_MODULE"", ""Troubleshoot_GSCB"", ""Tube_cooling_oil_air_evacuation"", ""Troubleshoot_AXIAL_ENCODER"", ""Cycle_the_Console_power_or_restart_system_software""], ""topics"": [""SCAN IMAGES CUSTOMER"", ""TABLE CUSTOMER STATES"", ""ARTIFACT CUSTOMER STATES"", ""TABLE CUSTOMER ADVANCING"", ""DETECTOR ARTIFACT ERROR"", ""ERROR BUTTON UNABLE"", ""SCAN STOPPED HARDWARE"", ""GANTRY SCAN ENCODER"", ""SCAN STOPPED PLEASE""]}"
Configure_ConnectPro,WORK WORKLIST LIST PACS CUSTOMER IMAGES TWICE WONT SHUT STILL,"{""similarity"": [""0.33269215688""], ""rescode"": [""Troubleshoot_GANTRY_CONTROL_PANEL""], ""topics"": [""GANTRY CONTROL WORK""]}"
Reset_the_system_time_clock,TIME CLOCK SYSTEM MINUTES RESET SCANNER CHANGE MISSING FIX CLOCKS,"{""similarity"": [""0.196547687675"", ""0.196547687675"", ""0.16831223228""], ""rescode"": [""Adjust_gantry_tilt_speed"", ""Troubleshoot_TGPU_BOARD"", ""Reset_UPS""], ""topics"": [""TILT GANTRY SYSTEM"", ""SYSTEM GANTRY HAPPENED"", ""UPS POWER SYSTEM""]}"
Adjust_gantry_tilt_speed,TILT GANTRY SYSTEM ANGLE UNDO SPEED ERRORS HEAD TIME WANTS,"{""similarity"": [""0.221774409365"", ""0.21474850071"", ""0.214512884609"", ""0.204298005056"", ""0.196547687675"", ""0.178677025463""], ""rescode"": [""Troubleshoot_CONSOLE_INTERCOM_BOARD"", ""Reset_x_ray_and_drives_power"", ""Troubleshoot_AXIAL_ENCODER"", ""Troubleshoot_GANTRY_TOUCH_SENSOR"", ""Reset_the_system_time_clock"", ""Adjust_gantry_alignment_lights""], ""topics"": [""GANTRY RESET HARDWARE"", ""GANTRY TABLE RESET"", ""GANTRY SCAN ENCODER"", ""GANTRY TABLE SENSOR"", ""TIME CLOCK SYSTEM"", ""LASER LIGHTS GANTRY""]}"
Troubleshoot_GANTRY_TOUCH_SENSOR,GANTRY TABLE SENSOR FRONT CD CONTROL STILL PANEL SIDE ERRORS,"{""similarity"": [""0.262194499672"", ""0.23273413637"", ""0.219231880344"", ""0.211084541387"", ""0.204298005056"", ""0.190176767871"", ""0.182577178209"", ""0.175821410658""], ""rescode"": [""Clean_table_power_supply_fan"", ""Perform_table_characterization_procedures"", ""Adjust_or_tighten_table_cover_or_touch_switch_or_sensor"", ""Troubleshoot_AXIAL_ENCODER"", ""Adjust_gantry_tilt_speed"", ""Gantry_tilt_motor_hydraulic_fluid_check_and_fill"", ""Troubleshoot_GANTRY_CONTROL_PANEL"", ""Adjust_gantry_alignment_lights""], ""topics"": [""TABLE CUSTOMER STATES"", ""TABLE CUSTOMER ADVANCING"", ""TABLE SIDE STILL"", ""GANTRY SCAN ENCODER"", ""TILT GANTRY SYSTEM"", ""GANTRY NOISE EXAM"", ""GANTRY CONTROL WORK"", ""LASER LIGHTS GANTRY""]}"
Adjust_or_tighten_table_cover_or_touch_switch_or_sensor,TABLE SIDE STILL NOISE LOUD STATES GANTRY MACHINE ABLE CUSTOMER,"{""similarity"": [""0.559996338268"", ""0.233844699007"", ""0.23044629143"", ""0.219231880344"", ""0.217011760957"", ""0.207569739778""], ""rescode"": [""Troubleshoot_TABLE_SIDE_COVER"", ""Clean_table_power_supply_fan"", ""Reset_x_ray_and_drives_power"", ""Troubleshoot_GANTRY_TOUCH_SENSOR"", ""Troubleshoot_TABLE_TAPE_SWITCH"", ""Perform_table_characterization_procedures""], ""topics"": [""TABLE COVER SIDE"", ""TABLE CUSTOMER STATES"", ""GANTRY TABLE RESET"", ""GANTRY TABLE SENSOR"", ""TABLE MOVE STATES"", ""TABLE CUSTOMER ADVANCING""]}"
Perform_LFC_and_system_software_reload,SOFTWARE LOAD CLASS STATES JUST PATIENT ENGINEER TUBE SYSTEM ILINQ,No document with similarity more than the given cutoff retrieved
Reset_Image_database,DELETE IMAGE NOW USE PATIENT SHUT LIST EXAM UNABLE SCAN,"{""similarity"": [""0.410181116925"", ""0.284565276077""], ""rescode"": [""Reseat_ECG_monitor_cable"", ""Check_and_adjust_network_configuration""], ""topics"": [""SCANNER HARDWARE IMAGE"", ""IMAGES PACS SEND""]}"
